HParams:
	batch_size: 64
	class_balanced: False
	data_augmentation: True
	lr: 0.001
	nonlinear_classifier: False
	penalty: 1000
	resnet18: False
	resnet_dropout: 0.0
	weight_decay: 0.0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  epoch         loss          mem_gb        penalty       step          step_time
0.7727126634  0.7715387913  0.7018267531  0.7233176168  0.2363529223  0.2338191170  0.0000000000  0.7345536947  0.3132276535  2.0225620270  0             0.2718231678
0.8982215556  0.8960565795  0.7967000589  0.8066866695  0.0986232389  0.0936562366  0.3428510205  0.5119432241  0.3159971237  0.4260887902  100           0.0469452739
0.8982215556  0.8960565795  0.7967000589  0.8066866695  0.0986232389  0.0936562366  0.6857020410  0.6358232909  0.3159971237  0.0710781459  200           0.0467117858
0.5715663167  0.5720102872  0.5479187872  0.5512216031  0.4052606203  0.4089155594  1.0285530616  0.6691398180  0.3159971237  0.0322377353  300           0.0467561316
0.5138740090  0.5122160309  0.5057052553  0.5079297042  0.4708308780  0.4729961423  1.3714040821  0.6798589414  0.3159971237  0.0203691745  400           0.0467136955
0.5183201200  0.5173596228  0.5080623560  0.5126446635  0.4652595489  0.4646378054  1.7142551026  0.6846545327  0.3159971237  0.0188380946  500           0.0467136717
0.5914398972  0.5992284612  0.5640970697  0.5655807973  0.3952429421  0.4029147021  2.0571061231  0.6868882912  0.3159971237  0.0185435609  600           0.0467005491
0.7904971073  0.7914702100  0.7168264852  0.7198885555  0.2096748272  0.2102443206  2.3999571436  0.6884991491  0.3159971237  0.0117229283  700           0.0466076136
0.6661667024  0.6678096871  0.6224888841  0.6213030433  0.3297798254  0.3336905272  2.7428081641  0.6892638069  0.3159971237  0.0106039448  800           0.0467240238
0.7269659310  0.7265323618  0.6678095034  0.6682383198  0.2668880913  0.2726103729  3.0856591847  0.6900660527  0.3159971237  0.0096516596  900           0.0468100715
0.7747482323  0.7796828118  0.7043981357  0.7117445349  0.2137461831  0.2138876982  3.4285102052  0.6906220454  0.3159971237  0.0096211912  1000          0.0467668509
0.6736125991  0.6776682383  0.6274709380  0.6273039006  0.3201907109  0.3210458637  3.7713612257  0.6909124619  0.3159971237  0.0102671882  1100          0.0467533851
0.7183415470  0.7205315045  0.6606310602  0.6630947278  0.2742272459  0.2786112302  4.1142122462  0.6912373579  0.3159971237  0.0087885565  1200          0.0467544150
0.7472144847  0.7518216888  0.6828092355  0.6864552079  0.2433170836  0.2492498928  4.4570632667  0.6914998108  0.3159971237  0.0102974746  1300          0.0467522407
0.6909685022  0.6922417488  0.6401671399  0.6418774111  0.2993517973  0.3009001286  4.7999142872  0.6917272490  0.3159971237  0.0077018035  1400          0.0467755079
0.5724769659  0.5782254608  0.5500080356  0.5540077154  0.4189746612  0.4215602229  5.1427653078  0.6919071102  0.3159971237  0.0078698990  1500          0.0467849016
0.5757981573  0.5825117874  0.5535436867  0.5555079297  0.4153854395  0.4172738963  5.4856163283  0.6920423305  0.3159971237  0.0078957674  1600          0.0468488503
0.6417934433  0.6528075439  0.6033642256  0.6020145735  0.3523329941  0.3506215174  5.8284673488  0.6922027111  0.3159971237  0.0075700844  1700          0.0467363977
0.5191236340  0.5207886841  0.5111694434  0.5137162452  0.4710451599  0.4734247750  6.1713183693  0.6923150092  0.3159971237  0.0073811866  1800          0.0469166017
0.5200342833  0.5216459494  0.5111694434  0.5147878268  0.4713130123  0.4742820403  6.5141693898  0.6924437177  0.3159971237  0.0105686050  1900          0.0467690063
0.5193379044  0.5203600514  0.5111694434  0.5137162452  0.4717415760  0.4740677240  6.8570204103  0.6925152904  0.3159971237  0.0070059110  2000          0.0468314028
0.5137133062  0.5152164595  0.5069909466  0.5120017145  0.4801521401  0.4819974282  7.1998714309  0.6925529540  0.3159971237  0.0096362074  2100          0.0468168116
0.5080887079  0.5100728676  0.5033481545  0.5098585512  0.4907055231  0.4918559794  7.5427224514  0.6926643968  0.3159971237  0.0090711434  2200          0.0468301225
0.5061602743  0.5079297042  0.5016874699  0.5079297042  0.4964375636  0.4963566224  7.8855734719  0.6927302384  0.3159971237  0.0085258491  2300          0.0468024945
0.5047139490  0.5034290613  0.5013124766  0.5062151736  0.5000803557  0.5000000000  8.2284244924  0.6927486342  0.3159971237  0.0079836194  2400          0.0468175745
0.5029462181  0.5023574796  0.5004017785  0.5049292756  0.5035624364  0.5057865409  8.5712755129  0.6927757955  0.3159971237  0.0081372917  2500          0.0469031787
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5035624364  0.5060008573  8.9141265335  0.6928394336  0.3159971237  0.0068197573  2600          0.0468753433
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  9.2569775540  0.6928956610  0.3159971237  0.0102320930  2700          0.0468803668
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  9.5998285745  0.6929382581  0.3159971237  0.0078018940  2800          0.0468930817
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  9.9426795950  0.6929253930  0.3159971237  0.0080728764  2900          0.0468330383
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  10.285530615  0.6929799306  0.3159971237  0.0065137086  3000          0.0469135690
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  10.628381636  0.6929568738  0.3159971237  0.0062301067  3100          0.0468399620
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  10.971232656  0.6929756296  0.3159971237  0.0081857812  3200          0.0468235254
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  11.314083677  0.6930099452  0.3159971237  0.0071317975  3300          0.0468476391
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  11.656934697  0.6930352008  0.3159971237  0.0061575293  3400          0.0468666005
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  11.999785718  0.6930300605  0.3159971237  0.0076842079  3500          0.0468199039
0.5027319477  0.5023574796  0.5003482081  0.5047149593  0.5036160069  0.5060008573  12.342636738  0.6930889684  0.3159971237  0.0092724894  3600          0.0468454552
