HParams:
	batch_size: 64
	class_balanced: False
	data_augmentation: True
	lr: 0.001
	mmd_gamma: 1.0
	nonlinear_classifier: False
	resnet18: False
	resnet_dropout: 0.0
	weight_decay: 0.0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  epoch         loss          mem_gb        penalty       step          step_time
0.4972680523  0.4976425204  0.4996517919  0.4952850407  0.4963839931  0.4939991427  0.0000000000  0.7345536947  0.1508779526  0.0002031435  0             0.2411065102
0.8982215556  0.8960565795  0.7967000589  0.8066866695  0.0986232389  0.0936562366  0.3428510205  0.4629131290  0.1536474228  0.0047094486  100           0.0092377687
0.8982215556  0.8960565795  0.7967000589  0.8066866695  0.0986232389  0.0936562366  0.6857020410  0.4217991811  0.1536474228  0.0034779872  200           0.0091299963
0.8982215556  0.8960565795  0.7967000589  0.8066866695  0.0986232389  0.0936562366  1.0285530616  0.4224738339  0.1536474228  0.0035148697  300           0.0091642141
0.8982215556  0.8960565795  0.7967000589  0.8066866695  0.0986232389  0.0936562366  1.3714040821  0.4191558984  0.1536474228  0.0027842501  400           0.0091308594
0.8982215556  0.8960565795  0.7967000589  0.8066866695  0.0986232389  0.0936562366  1.7142551026  0.4171361256  0.1536474228  0.0033515552  500           0.0090717697
0.8976323120  0.8956279468  0.7967536294  0.8069009859  0.1009803396  0.0962280326  2.0571061231  0.3964090925  0.1536474228  0.0028104364  600           0.0092921567
0.8982215556  0.8960565795  0.7967536294  0.8066866695  0.0986232389  0.0936562366  2.3999571436  0.3931499565  0.1536474228  0.0023850984  700           0.0099491525
0.8982751232  0.8960565795  0.7965393475  0.8064723532  0.0994803664  0.0940848693  2.7428081641  0.3745321205  0.1536474228  0.0023565574  800           0.0094478965
0.8975787444  0.8956279468  0.7963786361  0.8060437205  0.1011946215  0.0960137162  3.0856591847  0.3844840127  0.1536474228  0.0023122231  900           0.0100258398
0.8835976002  0.8823403343  0.7953072267  0.8006858123  0.1694969733  0.1703814831  3.4285102052  0.3797803810  0.1536474228  0.0022685439  1000          0.0095590711
0.8904006857  0.8874839263  0.7946108105  0.8028289756  0.1379439653  0.1318045435  3.7713612257  0.3778091419  0.1536474228  0.0023324700  1100          0.0092113471
0.8888472252  0.8876982426  0.7953607971  0.8013287613  0.1422831735  0.1408058294  4.1142122462  0.3738152683  0.1536474228  0.0024262577  1200          0.0092006993
0.8729912149  0.8688384055  0.7901108909  0.7901843120  0.2152997268  0.2076725246  4.4570632667  0.3719517785  0.1536474228  0.0019814727  1300          0.0092104268
0.8972573388  0.8954136305  0.7969143408  0.8069009859  0.1019446081  0.0977282469  4.7999142872  0.3685195056  0.1536474228  0.0020471088  1400          0.0091358685
0.8983286908  0.8958422632  0.7967536294  0.8064723532  0.0987839503  0.0951564509  5.1427653078  0.3631738764  0.1536474228  0.0023055348  1500          0.0091902089
0.8983286908  0.8958422632  0.7967000589  0.8075439348  0.1005517759  0.0953707673  5.4856163283  0.3669115984  0.1536474228  0.0016920953  1600          0.0091828895
0.8977394472  0.8960565795  0.7965393475  0.8071153022  0.1023196014  0.0964423489  5.8284673488  0.3697245732  0.1536474228  0.0016596204  1700          0.0091693425
0.8977930148  0.8954136305  0.7967000589  0.8051864552  0.1041409975  0.0985855122  6.1713183693  0.3627538055  0.1536474228  0.0014179108  1800          0.0091827440
0.8969359331  0.8930561509  0.7963250656  0.8045435062  0.1085873467  0.1020145735  6.5141693898  0.3722261381  0.1536474228  0.0016970537  1900          0.0091536903
0.8981679880  0.8954136305  0.7970750522  0.8064723532  0.1001232121  0.0947278183  6.8570204103  0.3608977780  0.1536474228  0.0020470858  2000          0.0092119408
0.8982215556  0.8954136305  0.7974500455  0.8045435062  0.1076230782  0.1018002572  7.1998714309  0.3557202962  0.1536474228  0.0016407672  2100          0.0092698455
0.8969359331  0.8934847835  0.7971286227  0.8056150879  0.1087480581  0.1043720532  7.5427224514  0.3581484999  0.1536474228  0.0017505809  2200          0.0092219806
0.8890079280  0.8849121303  0.7987357369  0.8028289756  0.1548186640  0.1500214316  7.8855734719  0.3713347793  0.1536474228  0.0016531034  2300          0.0092585111
0.8871866295  0.8810544363  0.8005035624  0.8024003429  0.1838002893  0.1806686670  8.2284244924  0.3535865307  0.1536474228  0.0020132447  2400          0.0091797781
0.8862224127  0.8778396914  0.8020571061  0.8024003429  0.1862109605  0.1870981569  8.5712755129  0.3593546677  0.1536474228  0.0015902497  2500          0.0092225623
0.8974180416  0.8913416202  0.7990035892  0.8047578225  0.1183907430  0.1086583798  8.9141265335  0.3537917545  0.1536474228  0.0012655766  2600          0.0091766381
0.8968287979  0.8909129876  0.7999142872  0.8049721389  0.1227299513  0.1198028290  9.2569775540  0.3444571614  0.1536474228  0.0013468302  2700          0.0092642856
0.8988643668  0.8932704672  0.7994857235  0.8058294042  0.1141051053  0.1101585941  9.5998285745  0.3549896321  0.1536474228  0.0013524263  2800          0.0092485905
0.8956503107  0.8881268753  0.8025392404  0.8054007715  0.1448009857  0.1395199314  9.9426795950  0.3574470189  0.1536474228  0.0014442749  2900          0.0091886783
0.8972037712  0.8913416202  0.8009321262  0.8056150879  0.1250870520  0.1193741963  10.285530615  0.3545821387  0.1536474228  0.0013679357  3000          0.0092433810
0.8932397686  0.8804114874  0.8081641399  0.8002571796  0.1720147855  0.1630947278  10.628381636  0.3582056707  0.1536474228  0.0013382680  3100          0.0091839528
0.8990250696  0.8943420489  0.8014678309  0.8071153022  0.1134086891  0.1060865838  10.971232656  0.3347754912  0.1536474228  0.0012571848  3200          0.0091411924
0.8965073923  0.8797685384  0.8123962072  0.7978997000  0.1709433760  0.1665237891  11.314083677  0.3501156630  0.1536474228  0.0014286878  3300          0.0091678786
0.8916863081  0.8744106301  0.8082177104  0.7944706387  0.1865323834  0.1836690956  11.656934697  0.3420890366  0.1536474228  0.0012172597  3400          0.0091546273
0.8651703450  0.8433347621  0.8116997911  0.7805400772  0.3486366315  0.3407629661  11.999785718  0.3450634298  0.1536474228  0.0012110814  3500          0.0091056943
0.9004178273  0.8849121303  0.8099855360  0.7996142306  0.1451759790  0.1395199314  12.342636738  0.3358610803  0.1536474228  0.0011420144  3600          0.0091253591
