HParams:
	batch_size: 64
	class_balanced: False
	data_augmentation: True
	lr: 0.001
	nonlinear_classifier: False
	resnet18: False
	resnet_dropout: 0.0
	weight_decay: 0.0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  epoch         loss          mem_gb        step          step_time
0.4972680523  0.4976425204  0.4996517919  0.4952850407  0.4963839931  0.4939991427  0.0000000000  0.7345541716  0.1682524681  0             0.1836643219
0.8981679880  0.8958422632  0.7967000589  0.8066866695  0.0986768093  0.0936562366  0.3428510205  0.4626070690  0.1710219383  100           0.0111097288
0.8982215556  0.8960565795  0.7967000589  0.8066866695  0.0986232389  0.0936562366  0.6857020410  0.4218369460  0.1710219383  200           0.0114592242
0.8982215556  0.8960565795  0.7967000589  0.8066866695  0.0986232389  0.0936562366  1.0285530616  0.4230993584  0.1710219383  300           0.0118422198
0.8982215556  0.8960565795  0.7967000589  0.8066866695  0.0986232389  0.0936562366  1.3714040821  0.4223792604  0.1710219383  400           0.0117684436
0.8982215556  0.8960565795  0.7967000589  0.8066866695  0.0986232389  0.0936562366  1.7142551026  0.4231787097  0.1710219383  500           0.0124682069
0.8969359331  0.8936990999  0.7962179247  0.8069009859  0.1033910109  0.0987998285  2.0571061231  0.4070564178  0.1710219383  600           0.0116552901
0.8982215556  0.8960565795  0.7967000589  0.8066866695  0.0986232389  0.0936562366  2.3999571436  0.4027969328  0.1710219383  700           0.0105777979
0.8982751232  0.8960565795  0.7966464885  0.8066866695  0.0986768093  0.0936562366  2.7428081641  0.3804580429  0.1710219383  800           0.0123128986
0.8978465824  0.8958422632  0.7965929180  0.8058294042  0.1004446349  0.0953707673  3.0856591847  0.3901502809  0.1710219383  900           0.0106708550
0.8849367902  0.8870552936  0.7953607971  0.8041148736  0.1512830128  0.1508786970  3.4285102052  0.3827045417  0.1710219383  1000          0.0103482962
0.8974180416  0.8949849979  0.7967000589  0.8058294042  0.1040338565  0.0979425632  3.7713612257  0.3800485924  0.1710219383  1100          0.0104860711
0.8905078209  0.8919845692  0.7950929448  0.8051864552  0.1337118980  0.1318045435  4.1142122462  0.3752509120  0.1710219383  1200          0.0103710508
0.8736340261  0.8724817831  0.7909680184  0.7933990570  0.2099426796  0.2003857694  4.4570632667  0.3728066036  0.1710219383  1300          0.0126323700
0.8978465824  0.8962708958  0.7970214818  0.8062580369  0.1007660577  0.0951564509  4.7999142872  0.3696287212  0.1710219383  1400          0.0111793685
0.8982215556  0.8958422632  0.7968071999  0.8064723532  0.0991589436  0.0951564509  5.1427653078  0.3643596613  0.1710219383  1500          0.0106363964
0.8982215556  0.8960565795  0.7967000589  0.8069009859  0.0987839503  0.0936562366  5.4856163283  0.3696446285  0.1710219383  1600          0.0108166265
0.8961324191  0.8947706815  0.7967000589  0.8069009859  0.1077302191  0.1020145735  5.8284673488  0.3713016567  0.1710219383  1700          0.0103679132
0.8982215556  0.8954136305  0.7969143408  0.8073296185  0.1008731987  0.0960137162  6.1713183693  0.3641059548  0.1710219383  1800          0.0103374815
0.8981144204  0.8960565795  0.7967536294  0.8064723532  0.0992125141  0.0942991856  6.5141693898  0.3745972541  0.1710219383  1900          0.0109573174
0.8977394472  0.8960565795  0.7971821932  0.8069009859  0.1025874538  0.0957993999  6.8570204103  0.3629104272  0.1710219383  2000          0.0123011851
0.8973109064  0.8947706815  0.7970214818  0.8054007715  0.1040874270  0.0981568796  7.1998714309  0.3573545846  0.1710219383  2100          0.0104045510
0.8981679880  0.8958422632  0.7968607703  0.8060437205  0.0990518026  0.0949421346  7.5427224514  0.3594780250  0.1710219383  2200          0.0104344177
0.8885258196  0.8836262323  0.7967536294  0.8021860266  0.1504258853  0.1472353193  7.8855734719  0.3733073619  0.1710219383  2300          0.0111260438
0.8955967431  0.8921988856  0.7973964751  0.8051864552  0.1191407296  0.1146592370  8.2284244924  0.3571499904  0.1710219383  2400          0.0114783001
0.8901328477  0.8857693956  0.7988964483  0.8021860266  0.1533722612  0.1510930133  8.5712755129  0.3621894714  0.1710219383  2500          0.0121869278
0.8985429612  0.8941277325  0.7964322066  0.8062580369  0.1019981786  0.0972996142  8.9141265335  0.3567711525  0.1710219383  2600          0.0118373251
0.8965073923  0.8930561509  0.7975036160  0.8060437205  0.1209085552  0.1178739820  9.2569775540  0.3474083109  0.1710219383  2700          0.0124742484
0.8902935505  0.8887698243  0.8000749987  0.8032576082  0.1526222746  0.1534504929  9.5998285745  0.3558692387  0.1710219383  2800          0.0124713516
0.8963466895  0.8915559366  0.7994857235  0.8066866695  0.1310869449  0.1288041149  9.9426795950  0.3635571368  0.1710219383  2900          0.0123265338
0.8979001500  0.8932704672  0.7998607168  0.8090441492  0.1187121659  0.1161594514  10.285530615  0.3585109606  0.1710219383  3000          0.0123707247
0.8940968502  0.8812687527  0.8019499652  0.8030432919  0.1464616703  0.1397342477  10.628381636  0.3640427503  0.1710219383  3100          0.0112252951
0.8996143133  0.8958422632  0.7993785825  0.8064723532  0.1105158836  0.1084440634  10.971232656  0.3392049927  0.1710219383  3200          0.0127347326
0.8982215556  0.8874839263  0.8025928108  0.8043291899  0.1286762736  0.1221603086  11.314083677  0.3573523954  0.1710219383  3300          0.0126740050
0.8816691665  0.8660522932  0.8009321262  0.7936133733  0.2134247603  0.2098156880  11.656934697  0.3502846876  0.1710219383  3400          0.0124158263
0.8709020784  0.8486926704  0.8042534955  0.7873981997  0.2934054749  0.2861123018  11.999785718  0.3561010769  0.1710219383  3500          0.0106344676
0.8989715020  0.8887698243  0.8021106766  0.8034719246  0.1171050517  0.1142306044  12.342636738  0.3430584572  0.1710219383  3600          0.0116030192
0.8925969574  0.8750535791  0.8102533883  0.8002571796  0.1932822628  0.1883840549  12.685487759  0.3524742344  0.1710219383  3700          0.0108673429
0.8927040926  0.8741963138  0.8118069320  0.7948992713  0.2028713773  0.1980282898  13.028338779  0.3446376541  0.1710219383  3800          0.0128225446
0.8863831155  0.8602657523  0.8144854556  0.7923274754  0.2450313387  0.2451778826  13.371189800  0.3420272197  0.1710219383  3900          0.0112704492
0.8992393400  0.8846978140  0.8088069856  0.8030432919  0.1320512134  0.1290184312  13.714040820  0.3348619162  0.1710219383  4000          0.0105246592
0.8932397686  0.8651950279  0.8171104087  0.7944706387  0.2105319548  0.2098156880  14.056891841  0.3260985282  0.1710219383  4100          0.0127396226
0.9001499893  0.8797685384  0.8200567847  0.7996142306  0.1658541812  0.1611658808  14.399742861  0.3293309012  0.1710219383  4200          0.0112344623
0.8999892865  0.8729104158  0.8235388654  0.7991855979  0.2017999679  0.1954564938  14.742593882  0.3290442912  0.1710219383  4300          0.0104549527
0.9034711806  0.8846978140  0.8137354690  0.8032576082  0.1297476831  0.1262323189  15.085444902  0.3317736788  0.1710219383  4400          0.0122888732
0.9026676666  0.8699099871  0.8274495098  0.7942563223  0.1870680881  0.1806686670  15.428295923  0.3147527720  0.1710219383  4500          0.0112389421
0.9077565888  0.8729104158  0.8340922484  0.7970424346  0.1896930412  0.1873124732  15.771146943  0.3238639036  0.1710219383  4600          0.0104339480
0.9079172916  0.8767681097  0.8317351476  0.7961851693  0.1772111212  0.1785255036  16.113997964  0.3079957987  0.1710219383  4700          0.0112986994
0.9125241054  0.8744106301  0.8406814164  0.7998285469  0.1833717255  0.1785255036  16.456848984  0.3055190338  0.1710219383  4800          0.0106006789
0.9114527534  0.8709815688  0.8436277924  0.7927561080  0.2056034714  0.2008144021  16.799700005  0.2890715064  0.1710219383  4900          0.0103962398
0.9106492393  0.8645520789  0.8494669738  0.7916845264  0.2183532437  0.2166738105  17.142551025  0.2868499957  0.1710219383  5000          0.0103136086
0.9148275123  0.8634804972  0.8607167729  0.7921131590  0.2472277281  0.2428204029  17.485402046  0.2802366012  0.1710219383  5100          0.0103684950
0.9199700021  0.8658379769  0.8656452563  0.7936133733  0.2305673113  0.2123874839  17.828253066  0.2768971843  0.1710219383  5200          0.0104117179
0.9175058924  0.8666952422  0.8608774843  0.7931847407  0.2167461295  0.2076725246  18.171104087  0.2679340699  0.1710219383  5300          0.0103116322
0.9165416756  0.8527646807  0.8731986929  0.7951135877  0.2943161729  0.2848264038  18.513955107  0.2580504730  0.1710219383  5400          0.0104709482
0.9308442254  0.8596228033  0.8827342369  0.7871838834  0.2364064927  0.2333904844  18.856806128  0.2575038025  0.1710219383  5500          0.0102569151
0.9261838440  0.8516930990  0.8838592168  0.7850407201  0.2752450849  0.2702528933  19.199657149  0.2324542575  0.1710219383  5600          0.0102447033
0.9367366617  0.8574796399  0.8970375529  0.7882554651  0.2516205068  0.2391770253  19.542508169  0.2337097924  0.1710219383  5700          0.0103556943
0.9372187701  0.8641234462  0.8912519419  0.7944706387  0.2263352440  0.2201028718  19.885359190  0.2159574927  0.1710219383  5800          0.0102868438
0.9392543390  0.8433347621  0.9027160229  0.7856836691  0.2743879574  0.2648949850  20.228210210  0.2063411970  0.1710219383  5900          0.0103668547
0.9458967217  0.8486926704  0.9152515134  0.7751821689  0.2763164943  0.2666095156  20.571061231  0.2110605392  0.1710219383  6000          0.0102923274
0.9373259053  0.8448349764  0.9040552847  0.7783969138  0.2778700380  0.2704672096  20.913912251  0.1925345109  0.1710219383  6100          0.0103393769
0.9463788301  0.8409772825  0.9217871109  0.7777539649  0.2840306423  0.2663951993  21.256763272  0.1819903973  0.1710219383  6200          0.0104858446
0.9472359117  0.8476210887  0.9185193122  0.7760394342  0.2806021321  0.2693956279  21.599614292  0.1740579353  0.1710219383  6300          0.0108807731
0.9511999143  0.8489069867  0.9231263727  0.7764680669  0.2774950447  0.2533219031  21.942465313  0.1672524806  0.1710219383  6400          0.0102806807
0.9598778659  0.8476210887  0.9364118498  0.7719674239  0.2634060106  0.2466780969  22.285316333  0.1543386244  0.1710219383  6500          0.0118384838
0.9571994858  0.8285469353  0.9391975143  0.7702528933  0.3183157444  0.3073296185  22.628167354  0.1493262942  0.1710219383  6600          0.0114336944
0.9647525177  0.8407629661  0.9498580382  0.7713244749  0.3037445760  0.2843977711  22.971018374  0.1232388415  0.1710219383  6700          0.0113789272
0.9607885151  0.8435490784  0.9347511652  0.7751821689  0.2745486688  0.2713244749  23.313869395  0.1268307656  0.1710219383  6800          0.0115742159
0.9678594386  0.8456922417  0.9493223335  0.7706815259  0.2662452456  0.2580368624  23.656720415  0.1193931106  0.1710219383  6900          0.0107790303
0.9708056567  0.8315473639  0.9592328708  0.7687526790  0.3079766433  0.3032576082  23.999571436  0.1140895882  0.1710219383  7000          0.0108798504
